paper_id,Title,pdf_file,Citation count,Publisher,Institution name,Institution UKPRN code,Main panel,Unit of assessment name,Open access status,Year
P006784,A large-scale implementation of Predictive Learning Analytics in Higher Education: the teachers' role and perspective,P006784.pdf,15.0,Unknown,the open university,10007773,B,computer science and informatics,Compliant,2019
P006881,A Lip Sync Expert Is All You Need for Speech to Lip Generation In the Wild,P006881.pdf,0.0,Unknown,the university of bath,10007850,B,computer science and informatics,Unknown,2020
P006886,A Little Charity Guarantees Almost Envy-Freeness,P006886.pdf,2.0,Unknown,the university of liverpool,10006842,B,computer science and informatics,Unknown,2020
P006902,A location aided controlled spraying routing algorithm for Delay Tolerant Networks,P006902.pdf,11.0,Unknown,liverpool john moores university,10003957,B,computer science and informatics,Access exception,2017
P006906,A logic for document spanners,P006906.pdf,1.0,Unknown,loughborough university,10004113,B,computer science and informatics,Compliant,2018
P006908,A Logic Programming Approach to Predict Effective Compiler Settings for Embedded Software,P006908.pdf,3.0,Unknown,university of bristol,10007786,B,computer science and informatics,Out of scope for open access requirements,2015
P006910,"A logical reconstruction of Batcher’s mergers, or, Bitonicity is a red herring",P006910.pdf,0.0,Unknown,oxford brookes university,10004930,B,computer science and informatics,Compliant,2017
P007002,A Lyapunov Approach for Time Bounded Reachability of CTMCs and CTMDPs,P007002.pdf,0.0,Unknown,university of newcastle upon tyne,10007799,B,computer science and informatics,Compliant,2020
P007017,A Machine Learning Framework forResource Allocation Assisted by CloudComputing,P007017.pdf,27.0,Unknown,edge hill university,10007823,B,computer science and informatics,Compliant,2018
P007103,A mathematical theory of resources,P007103.pdf,107.0,Unknown,university of oxford,10007774,B,computer science and informatics,Out of scope for open access requirements,2016
P007138,A Mechanised Proof of Gödel’s Incompleteness Theorems Using Nominal Isabelle,P007138.pdf,9.0,Unknown,university of cambridge,10007788,B,computer science and informatics,Out of scope for open access requirements,2015
P007251,A metaheuristic method for joint task scheduling and virtual machine placement in cloud data centers,P007251.pdf,0.0,Unknown,glasgow caledonian university,10007762,B,computer science and informatics,Compliant,2020
P007277,A method for generating an illusion of backwards time travel using immersive virtual reality—an exploratory study,P007277.pdf,28.0,Unknown,goldsmiths' college,10002718,B,computer science and informatics,Out of scope for open access requirements,2014
P007281,A Method for Invariant Generation for Polynomial Continuous Systems,P007281.pdf,18.0,Unknown,university of edinburgh,10007790,B,computer science and informatics,Out of scope for open access requirements,2015
P007302,A method to explore the connectivity patterns of proteins and drugs for identifying disease communities,P007302.pdf,0.0,Unknown,university of sunderland,10007159,B,computer science and informatics,Compliant,2020
P007346,A Micro-Extended Belief Rule-Based System for Big Data Multi-Class Classification Problems,P007346.pdf,3.0,Unknown,university of ulster,10007807,B,computer science and informatics,Compliant,2018
P007406,A mixed methods approach to understanding funder trust and due diligence processes in online crowdfunding investment,P007406.pdf,0.0,Unknown,university of strathclyde,10007805,B,computer science and informatics,Technical exception,2020
P007441,A Model for an Angular Velocity-Tuned Motion Detector Accounting for Deviations in the Corridor-Centering Response of the Bee,P007441.pdf,14.0,Unknown,the university of sheffield,10007157,B,computer science and informatics,Out of scope for open access requirements,2016
P007499,A Model to Compare Cloud and non-Cloud Storage of Big Data,P007499.pdf,71.0,Unknown,university of southampton,10007158,B,computer science and informatics,Out of scope for open access requirements,2015
P007504,A model-based framework for classifying and diagnosing usability problems,P007504.pdf,9.0,Unknown,middlesex university,10004351,B,computer science and informatics,Out of scope for open access requirements,2014
P007600,A more realistic approach for airport ground movement optimisation with stand holding,P007600.pdf,30.0,Unknown,the university of leicester,10007796,B,computer science and informatics,Out of scope for open access requirements,2014
P007603,A morphological model for simulating acoustic scenes and its application to sound event detection,P007603.pdf,14.0,Unknown,queen mary university of london,10007775,B,computer science and informatics,Compliant,2016
P007622,A multi-biometric iris recognition system based on a deep learning approach,P007622.pdf,31.0,Unknown,the university of bradford,10007785,B,computer science and informatics,Compliant,2017
P007726,A multimodal smartphone sensor system for behaviour measurement and health status inference,P007726.pdf,1.0,Unknown,university of ulster,10007807,B,computer science and informatics,Access exception,2019
P007741,A Multiobjective Optimization Approach for COLREGs-Compliant Path Planning of Autonomous Surface Vehicles Verified on Networked Bridge Simulators,P007741.pdf,5.0,Unknown,the university of essex,10007791,B,computer science and informatics,Compliant,2019
P007802,A multi-tier adaptive grid algorithm for the evolutionary multi-objective optimisation of complex problems,P007802.pdf,1.0,Unknown,sheffield hallam university,10005790,B,computer science and informatics,Compliant,2016
P007896,A Network Model of Local Field Potential Activity in Essential Tremor and the Impact of Deep Brain Stimulation,P007896.pdf,0.0,Unknown,university of plymouth,10007801,B,computer science and informatics,Compliant,2017
P007905,A neural circuit model of decision uncertainty and change-of-mind,P007905.pdf,6.0,Unknown,university of ulster,10007807,B,computer science and informatics,Compliant,2019
P007938,A new accuracy measure based on bounded relative error for time series forecasting,P007938.pdf,31.0,Unknown,"university of nottingham, the",10007154,B,computer science and informatics,Compliant,2017
P008037,A New Evolutionary Algorithm-Based Home Monitoring Device for Parkinson's Dyskinesia,P008037.pdf,5.0,Unknown,heriot-watt university,10007764,B,computer science and informatics,Compliant,2017
P008071,A new image encryption algorithm based on heterogeneous chaotic neural network generator and dna encoding,P008071.pdf,12.0,Unknown,bournemouth university,10000824,B,computer science and informatics,Compliant,2018
P008115,A new metastable convergence criterion and an application in the theory of uniformly convex Banach spaces,P008115.pdf,2.0,Unknown,the university of bath,10007850,B,computer science and informatics,Deposit exception,2019
